sampling_mode,max_seq,case,strategy,groups,tokens,seqs,min_len,p50_len,p95_len,p99_len,max_len,ge_128k,ge_256k,ge_384k,ge_512k
real_random,131072,ring_only,ring×2,10,178912,31,64,2240.0,18064.0,19600.0,19744,0,0,0,0
real_random,131072,ring_only,ring×4,11,338528,14,1440,23872.0,44470.399999999994,54154.87999999999,56576,0,0,0,0
real_random,131072,ring_only,ring×8,2,158112,2,59328,79056.0,96811.2,98389.44,98784,0,0,0,0
real_random,131072,ring_only,ulysses×1,32,449856,273,32,864.0,6387.199999999997,9905.919999999976,11200,0,0,0,0
real_random,131072,ulysses_only,ulysses×1,38,563584,298,32,976.0,7232.0,11507.519999999924,16544,0,0,0,0
real_random,131072,ulysses_only,ulysses×2,3,51936,6,224,7456.0,17944.0,19000.0,19264,0,0,0,0
real_random,131072,ulysses_only,ulysses×4,11,334816,13,2016,24608.0,45401.59999999998,54341.11999999998,56576,0,0,0,0
real_random,131072,ulysses_only,ulysses×8,3,175072,3,16960,59328.0,94838.4,97994.87999999999,98784,0,0,0,0
real_random,131072,ulysses_ring,ring×2,13,271872,82,96,1408.0,11382.400000000001,17319.999999999993,19264,0,0,0,0
real_random,131072,ulysses_ring,ring×4,9,272288,11,2240,23136.0,47264.0,54713.60000000001,56576,0,0,0,0
real_random,131072,ulysses_ring,ring×8,2,158112,2,59328,79056.0,96811.2,98389.44,98784,0,0,0,0
real_random,131072,ulysses_ring,ulysses×1,24,347584,217,32,864.0,6259.199999999999,10772.480000000005,13984,0,0,0,0
real_random,131072,ulysses_ring,ulysses×2,1,3104,6,224,528.0,760.0,792.0,800,0,0,0,0
real_random,131072,ulysses_ring,ulysses×4,2,72448,2,34816,36224.0,37491.200000000004,37603.840000000004,37632,0,0,0,0
real_random,131072,ulysses_ring_usp,ring×2,17,423296,146,64,1392.0,11320.0,18184.00000000003,19744,0,0,0,0
real_random,131072,ulysses_ring_usp,ring×4,7,200032,8,2656,23872.0,47201.59999999999,54701.119999999995,56576,0,0,0,0
real_random,131072,ulysses_ring_usp,ring×8,1,98784,1,98784,98784.0,98784.0,98784.0,98784,0,0,0,0
real_random,131072,ulysses_ring_usp,ulysses×1,20,232288,156,32,768.0,6464.0,10387.199999999997,11200,0,0,0,0
real_random,131072,ulysses_ring_usp,ulysses×2,1,1280,5,64,288.0,409.6,414.72,416,0,0,0,0
real_random,131072,ulysses_ring_usp,ulysses×4,2,72448,2,34816,36224.0,37491.200000000004,37603.840000000004,37632,0,0,0,0
real_random,131072,ulysses_ring_usp,"usp(sp2×cp2,cf)",1,37952,1,37952,37952.0,37952.0,37952.0,37952,0,0,0,0
real_random,131072,ulysses_ring_usp,"usp(sp2×cp4,cf)",1,59328,1,59328,59328.0,59328.0,59328.0,59328,0,0,0,0
real_random,131072,usp_only,ulysses×1,40,603648,305,32,992.0,7846.400000000009,13881.599999999948,16544,0,0,0,0
real_random,131072,usp_only,"usp(sp2×cp2,cf)",4,83552,4,16864,21040.0,24387.2,24563.84,24608,0,0,0,0
real_random,131072,usp_only,"usp(sp2×cp4,cf)",5,266976,8,16960,28576.0,58364.8,59135.36,59328,0,0,0,0
real_random,131072,usp_only,"usp(sp4×cp4,cf)",1,171232,3,34816,37632.0,92668.79999999999,97560.95999999999,98784,0,0,0,0
