sampling_mode,max_seq,case,strategy,groups,tokens,seqs,min_len,p50_len,p95_len,p99_len,max_len,ge_128k,ge_256k,ge_384k,ge_512k
real_random,131072,ring_only,ring×2,10,178912,31,64,2240.0,18064.0,19600.0,19744,0,0,0,0
real_random,131072,ring_only,ring×4,11,338528,14,1440,23872.0,44470.399999999994,54154.87999999999,56576,0,0,0,0
real_random,131072,ring_only,ring×8,2,158112,2,59328,79056.0,96811.2,98389.44,98784,0,0,0,0
real_random,131072,ring_only,ulysses×1,32,449856,273,32,864.0,6387.199999999997,9905.919999999976,11200,0,0,0,0
real_random,131072,ulysses_only,ulysses×1,46,571968,300,32,992.0,7232.0,11449.599999999977,14976,0,0,0,0
real_random,131072,ulysses_only,ulysses×2,3,67808,7,256,10592.0,18544.0,19119.999999999996,19264,0,0,0,0
real_random,131072,ulysses_only,ulysses×4,11,348896,11,16960,27360.0,57952.0,59052.8,59328,0,0,0,0
real_random,131072,ulysses_only,ulysses×8,2,136736,2,37952,68368.0,95742.4,98175.68000000001,98784,0,0,0,0
real_random,131072,ulysses_ring,ring×2,8,139232,12,5760,11008.0,18160.0,19427.2,19744,0,0,0,0
real_random,131072,ulysses_ring,ring×4,8,243328,9,8000,24608.0,49126.399999999994,55086.08,56576,0,0,0,0
real_random,131072,ulysses_ring,ring×8,2,158112,2,59328,79056.0,96811.2,98389.44,98784,0,0,0,0
real_random,131072,ulysses_ring,ulysses×1,38,493024,294,32,896.0,6635.199999999999,10561.599999999997,13984,0,0,0,0
real_random,131072,ulysses_ring,ulysses×2,1,19264,1,19264,19264.0,19264.0,19264.0,19264,0,0,0,0
real_random,131072,ulysses_ring,ulysses×4,2,72448,2,34816,36224.0,37491.200000000004,37603.840000000004,37632,0,0,0,0
real_random,131072,ulysses_ring_usp,ring×2,9,194080,51,32,1792.0,15376.0,18304.0,19744,0,0,0,0
real_random,131072,ulysses_ring_usp,ring×4,7,205376,8,8000,23872.0,47201.59999999999,54701.119999999995,56576,0,0,0,0
real_random,131072,ulysses_ring_usp,ring×8,1,98784,1,98784,98784.0,98784.0,98784.0,98784,0,0,0,0
real_random,131072,ulysses_ring_usp,ulysses×1,32,406560,248,32,896.0,6302.399999999998,10782.400000000001,13984,0,0,0,0
real_random,131072,ulysses_ring_usp,ulysses×2,3,50880,8,832,3072.0,17763.199999999997,18963.839999999997,19264,0,0,0,0
real_random,131072,ulysses_ring_usp,ulysses×8,1,72448,2,34816,36224.0,37491.200000000004,37603.840000000004,37632,0,0,0,0
real_random,131072,ulysses_ring_usp,"usp(sp2×cp2,cf)",1,37952,1,37952,37952.0,37952.0,37952.0,37952,0,0,0,0
real_random,131072,ulysses_ring_usp,"usp(sp4×cp2,cf)",1,59328,1,59328,59328.0,59328.0,59328.0,59328,0,0,0,0
real_random,131072,usp_only,ulysses×1,40,603648,305,32,992.0,7846.400000000009,13881.599999999948,16544,0,0,0,0
real_random,131072,usp_only,"usp(sp2×cp2,cf)",4,83552,4,16864,21040.0,24387.2,24563.84,24608,0,0,0,0
real_random,131072,usp_only,"usp(sp2×cp4,cf)",5,266976,8,16960,28576.0,58364.8,59135.36,59328,0,0,0,0
real_random,131072,usp_only,"usp(sp4×cp4,cf)",1,171232,3,34816,37632.0,92668.79999999999,97560.95999999999,98784,0,0,0,0
