batch_key,sampling_mode,max_seq,batch_idx,case,status,total_time_ms,speedup_vs_ulysses,solver_wall_s,microbatch_count,tokens,max,p95,p99,ge_128k,ge_256k,ge_384k,ge_512k
real_random_max128000_b0,real_random,128000,0,ulysses_only,ok,2633.3491297003925,1.0,2.986638069152832,1,186432,37312,8014.399999999997,36808.0,0,0,0,0
real_random_max128000_b0,real_random,128000,0,ring_only,ok,1247.8931339922012,2.1102360915120233,2.100468397140503,1,186432,37312,8014.399999999997,36808.0,0,0,0,0
real_random_max128000_b0,real_random,128000,0,ulysses_ring,ok,1247.893133992201,2.1102360915120237,4.822385549545288,1,186432,37312,8014.399999999997,36808.0,0,0,0,0
real_random_max128000_b1,real_random,128000,1,ulysses_only,ok,3658.2917052033386,1.0,4.281665325164795,1,227168,47552,19935.999999999927,34226.23999999995,0,0,0,0
real_random_max128000_b1,real_random,128000,1,ring_only,ok,1965.1612965025888,1.8615732518821868,5.195237398147583,1,227168,47552,19935.999999999927,34226.23999999995,0,0,0,0
real_random_max128000_b1,real_random,128000,1,ulysses_ring,ok,1965.1612965025888,1.8615732518821868,27.43339204788208,1,227168,47552,19935.999999999927,34226.23999999995,0,0,0,0
real_random_max128000_b2,real_random,128000,2,ulysses_only,ok,591.7323870661312,1.0,3.692221164703369,1,119040,13216,6147.199999999999,12026.559999999994,0,0,0,0
real_random_max128000_b2,real_random,128000,2,ring_only,ok,254.36056584019107,2.3263526919416555,2.53456974029541,1,119040,13216,6147.199999999999,12026.559999999994,0,0,0,0
real_random_max128000_b2,real_random,128000,2,ulysses_ring,ok,254.36056584018783,2.3263526919416853,3.0898492336273193,1,119040,13216,6147.199999999999,12026.559999999994,0,0,0,0
real_random_max128000_b3,real_random,128000,3,ulysses_only,ok,1483.8018829782682,1.0,6.0390944480896,1,175104,23136,10403.199999999986,20091.83999999999,0,0,0,0
real_random_max128000_b3,real_random,128000,3,ring_only,ok,578.5400388941302,2.56473499364803,19.72873592376709,1,175104,23136,10403.199999999986,20091.83999999999,0,0,0,0
real_random_max128000_b3,real_random,128000,3,ulysses_ring,ok,578.5400388941302,2.56473499364803,2550.2261917591095,1,175104,23136,10403.199999999986,20091.83999999999,0,0,0,0
real_random_max128000_b4,real_random,128000,4,ulysses_only,ok,5321.598898196732,1.0,4.193106174468994,1,207712,61536,11390.4,43895.99999999993,0,0,0,0
real_random_max128000_b4,real_random,128000,4,ring_only,ok,2705.858745397065,1.966695012165473,8.075039625167847,1,207712,61536,11390.4,43895.99999999993,0,0,0,0
real_random_max128000_b4,real_random,128000,4,ulysses_ring,ok,2705.858745397065,1.966695012165473,14.394521951675415,1,207712,61536,11390.4,43895.99999999993,0,0,0,0
tail_conditioned_max128000_b0,tail_conditioned,128000,0,ulysses_only,ok,32542.61764734646,1.0,2.3397204875946045,3,613920,124512,97431.99999999965,118544.63999999997,0,0,0,0
tail_conditioned_max128000_b0,tail_conditioned,128000,0,ring_only,ok,13446.623025997178,2.4201331133050896,1.4369494915008545,3,613920,124512,97431.99999999965,118544.63999999997,0,0,0,0
tail_conditioned_max128000_b0,tail_conditioned,128000,0,ulysses_ring,ok,13446.623025997178,2.4201331133050896,0.9310469627380371,3,613920,124512,97431.99999999965,118544.63999999997,0,0,0,0
tail_conditioned_max128000_b1,tail_conditioned,128000,1,ulysses_only,ok,31666.29447478072,1.0,44.83964490890503,3,679328,125760,92439.99999999968,112958.39999999995,0,0,0,0
tail_conditioned_max128000_b1,tail_conditioned,128000,1,ring_only,ok,13127.688322420767,2.41217598232416,21.30500340461731,3,679328,125760,92439.99999999968,112958.39999999995,0,0,0,0
tail_conditioned_max128000_b1,tail_conditioned,128000,1,ulysses_ring,ok,13127.688322420769,2.4121759823241598,42.91797351837158,3,679328,125760,92439.99999999968,112958.39999999995,0,0,0,0
tail_conditioned_max128000_b2,tail_conditioned,128000,2,ulysses_only,ok,41927.65128302288,1.0,7.9104790687561035,3,715008,123072,105540.79999999997,117890.87999999998,0,0,0,0
tail_conditioned_max128000_b2,tail_conditioned,128000,2,ring_only,ok,17728.727642694503,2.3649554625709452,4.1677467823028564,3,715008,123072,105540.79999999997,117890.87999999998,0,0,0,0
tail_conditioned_max128000_b2,tail_conditioned,128000,2,ulysses_ring,ok,17728.727642694503,2.3649554625709452,4.865649461746216,3,715008,123072,105540.79999999997,117890.87999999998,0,0,0,0
tail_conditioned_max128000_b3,tail_conditioned,128000,3,ulysses_only,ok,37965.872346881675,1.0,6.70374321937561,4,761408,115872,99543.99999999997,109178.87999999998,0,0,0,0
tail_conditioned_max128000_b3,tail_conditioned,128000,3,ring_only,ok,15574.268627970385,2.4377306731885575,8.292308568954468,4,761408,115872,99543.99999999997,109178.87999999998,0,0,0,0
tail_conditioned_max128000_b3,tail_conditioned,128000,3,ulysses_ring,ok,15574.268627970387,2.437730673188557,33.781394958496094,4,761408,115872,99543.99999999997,109178.87999999998,0,0,0,0
tail_conditioned_max128000_b4,tail_conditioned,128000,4,ulysses_only,infeasible,,,0.2347412109375,0,560704,122752,87892.79999999957,115736.31999999996,0,0,0,0
tail_conditioned_max128000_b4,tail_conditioned,128000,4,ring_only,ok,13899.567600296976,,1.0483465194702148,3,560704,122752,87892.79999999957,115736.31999999996,0,0,0,0
tail_conditioned_max128000_b4,tail_conditioned,128000,4,ulysses_ring,ok,13899.567600296976,,0.7989578247070312,3,560704,122752,87892.79999999957,115736.31999999996,0,0,0,0
real_random_max256000_b0,real_random,256000,0,ulysses_only,ok,1386.9449225949138,1.0,0.8752913475036621,1,105600,23712,3495.9999999999955,22159.679999999993,0,0,0,0
real_random_max256000_b0,real_random,256000,0,ring_only,ok,547.5881874326585,2.532824765810855,0.9739203453063965,1,105600,23712,3495.9999999999955,22159.679999999993,0,0,0,0
real_random_max256000_b0,real_random,256000,0,ulysses_ring,ok,547.5881874326584,2.5328247658108554,3.8687596321105957,1,105600,23712,3495.9999999999955,22159.679999999993,0,0,0,0
real_random_max256000_b1,real_random,256000,1,ulysses_only,ok,13489.715563951657,1.0,1.893397331237793,2,322688,103552,18543.99999999995,66800.31999999985,0,0,0,0
real_random_max256000_b1,real_random,256000,1,ring_only,ok,5468.617619362705,2.466750557981727,2.195725679397583,2,322688,103552,18543.99999999995,66800.31999999985,0,0,0,0
real_random_max256000_b1,real_random,256000,1,ulysses_ring,ok,5468.617619362705,2.466750557981727,10.352409839630127,2,322688,103552,18543.99999999995,66800.31999999985,0,0,0,0
real_random_max256000_b2,real_random,256000,2,ulysses_only,ok,1902.9812759803658,1.0,22.750916957855225,1,178816,27168,14831.999999999975,22994.879999999983,0,0,0,0
real_random_max256000_b2,real_random,256000,2,ring_only,ok,698.2655406029603,2.7252974195706687,3.184705972671509,1,178816,27168,14831.999999999975,22994.879999999983,0,0,0,0
real_random_max256000_b2,real_random,256000,2,ulysses_ring,ok,698.2655406029602,2.725297419570669,9.220901250839233,1,178816,27168,14831.999999999975,22994.879999999983,0,0,0,0
real_random_max256000_b3,real_random,256000,3,ulysses_only,ok,2088.6078733341274,1.0,2.3296332359313965,1,155904,33312,9609.599999999971,24320.639999999963,0,0,0,0
real_random_max256000_b3,real_random,256000,3,ring_only,ok,1012.0375340240885,2.0637652291702597,1.7563555240631104,1,155904,33312,9609.599999999971,24320.639999999963,0,0,0,0
real_random_max256000_b3,real_random,256000,3,ulysses_ring,ok,1012.0375340240862,2.063765229170264,29.882837533950806,1,155904,33312,9609.599999999971,24320.639999999963,0,0,0,0
real_random_max256000_b4,real_random,256000,4,ulysses_only,ok,1212.2552648124217,1.0,3.990264892578125,1,129888,20960,5812.799999999998,16807.039999999983,0,0,0,0
real_random_max256000_b4,real_random,256000,4,ring_only,ok,440.8997628391968,2.749503100219518,2.7215874195098877,1,129888,20960,5812.799999999998,16807.039999999983,0,0,0,0
real_random_max256000_b4,real_random,256000,4,ulysses_ring,ok,440.8997628391953,2.749503100219527,2.9653069972991943,1,129888,20960,5812.799999999998,16807.039999999983,0,0,0,0
tail_conditioned_max256000_b0,tail_conditioned,256000,0,ulysses_only,infeasible,,,0.2647836208343506,0,1088320,243776,177767.99999999919,228474.55999999994,4,0,0,0
tail_conditioned_max256000_b0,tail_conditioned,256000,0,ring_only,ok,45001.365543404754,,4.337982892990112,5,1088320,243776,177767.99999999919,228474.55999999994,4,0,0,0
tail_conditioned_max256000_b0,tail_conditioned,256000,0,ulysses_ring,ok,45001.365543404754,,22.862619161605835,5,1088320,243776,177767.99999999919,228474.55999999994,4,0,0,0
tail_conditioned_max256000_b1,tail_conditioned,256000,1,ulysses_only,infeasible,,,0.30937695503234863,0,1044032,239520,183561.599999999,227403.83999999994,4,0,0,0
tail_conditioned_max256000_b1,tail_conditioned,256000,1,ring_only,ok,45143.865934483205,,2.0543646812438965,5,1044032,239520,183561.599999999,227403.83999999994,4,0,0,0
tail_conditioned_max256000_b1,tail_conditioned,256000,1,ulysses_ring,ok,45143.865934483205,,2.7335140705108643,5,1044032,239520,183561.599999999,227403.83999999994,4,0,0,0
