sampling_mode,max_seq,case,strategy,groups,tokens,seqs,min_len,p50_len,p95_len,p99_len,max_len,ge_128k,ge_256k,ge_384k,ge_512k
real_random,131072,ring_only,ring×2,10,178912,31,64,2240.0,18064.0,19600.0,19744,0,0,0,0
real_random,131072,ring_only,ring×4,11,338528,14,1440,23872.0,44470.399999999994,54154.87999999999,56576,0,0,0,0
real_random,131072,ring_only,ring×8,2,158112,2,59328,79056.0,96811.2,98389.44,98784,0,0,0,0
real_random,131072,ring_only,ulysses×1,32,449856,273,32,864.0,6387.199999999997,9905.919999999976,11200,0,0,0,0
real_random,131072,ulysses_only,ulysses×1,38,563584,298,32,976.0,7232.0,11507.519999999924,16544,0,0,0,0
real_random,131072,ulysses_only,ulysses×2,3,51936,6,224,7456.0,17944.0,19000.0,19264,0,0,0,0
real_random,131072,ulysses_only,ulysses×4,11,334816,13,2016,24608.0,45401.59999999998,54341.11999999998,56576,0,0,0,0
real_random,131072,ulysses_only,ulysses×8,3,175072,3,16960,59328.0,94838.4,97994.87999999999,98784,0,0,0,0
real_random,131072,ulysses_ring,ring×2,13,271872,82,96,1408.0,11382.400000000001,17319.999999999993,19264,0,0,0,0
real_random,131072,ulysses_ring,ring×4,9,272288,11,2240,23136.0,47264.0,54713.60000000001,56576,0,0,0,0
real_random,131072,ulysses_ring,ring×8,2,158112,2,59328,79056.0,96811.2,98389.44,98784,0,0,0,0
real_random,131072,ulysses_ring,ulysses×1,24,347584,217,32,864.0,6259.199999999999,10772.480000000005,13984,0,0,0,0
real_random,131072,ulysses_ring,ulysses×2,1,3104,6,224,528.0,760.0,792.0,800,0,0,0,0
real_random,131072,ulysses_ring,ulysses×4,2,72448,2,34816,36224.0,37491.200000000004,37603.840000000004,37632,0,0,0,0
tail_conditioned,131072,ring_only,ring×16,1,127168,1,127168,127168.0,127168.0,127168.0,127168,0,0,0,0
tail_conditioned,131072,ring_only,ring×2,10,258176,107,32,832.0,9273.599999999995,24451.199999999975,27456,0,0,0,0
tail_conditioned,131072,ring_only,ring×4,3,80832,3,22496,22880.0,34198.4,35204.479999999996,35456,0,0,0,0
tail_conditioned,131072,ring_only,ring×8,21,2265536,22,34048,106864.0,122769.6,126980.48,128096,0,0,0,0
tail_conditioned,131072,ring_only,ulysses×1,24,358176,187,32,832.0,7734.4,11978.239999999983,15680,0,0,0,0
tail_conditioned,131072,ulysses_only,ulysses×1,24,370240,202,32,704.0,7475.199999999997,13011.840000000011,15680,0,0,0,0
tail_conditioned,131072,ulysses_only,ulysses×2,2,66752,12,32,1328.0,20591.999999999993,26083.200000000004,27456,0,0,0,0
tail_conditioned,131072,ulysses_only,ulysses×4,3,112512,21,96,2112.0,22880.0,31814.40000000001,34048,0,0,0,0
tail_conditioned,131072,ulysses_only,ulysses×8,19,1975072,21,4640,105504.0,122784.0,127033.6,128096,0,0,0,0
tail_conditioned,131072,ulysses_ring,ring×16,1,127168,1,127168,127168.0,127168.0,127168.0,127168,0,0,0,0
tail_conditioned,131072,ulysses_ring,ring×2,6,148128,43,128,1344.0,10128.0,20615.03999999997,27456,0,0,0,0
tail_conditioned,131072,ulysses_ring,ring×4,4,143840,34,64,1072.0,22630.4,31305.920000000024,35456,0,0,0,0
tail_conditioned,131072,ulysses_ring,ring×8,21,2265536,22,34048,106864.0,122769.6,126980.48,128096,0,0,0,0
tail_conditioned,131072,ulysses_ring,ulysses×1,20,275520,162,32,688.0,7203.199999999993,12282.239999999983,15680,0,0,0,0
tail_conditioned,131072,ulysses_ring,ulysses×2,4,129696,58,32,768.0,11430.399999999998,19310.399999999994,25056,0,0,0,0
