batch_key,sampling_mode,max_seq,batch_idx,case,status,total_time_ms,speedup_vs_ulysses,solver_wall_s,microbatch_count,tokens,max,p95,p99,ge_128k,ge_256k,ge_384k,ge_512k
real_random_max131072_b0,real_random,131072,0,ulysses_only,ok,12182.77941956914,1.0,2.945169448852539,2,338784,98784,22195.199999999964,60258.239999999845,0,0,0,0
real_random_max131072_b0,real_random,131072,0,ring_only,ok,4822.856415449114,2.5260506160921348,2.211137294769287,2,338784,98784,22195.199999999964,60258.239999999845,0,0,0,0
real_random_max131072_b0,real_random,131072,0,ulysses_ring,ok,4822.856415449113,2.5260506160921357,4.022881507873535,2,338784,98784,22195.199999999964,60258.239999999845,0,0,0,0
real_random_max131072_b1,real_random,131072,1,ulysses_only,ok,6299.814984585953,1.0,3.346649646759033,2,317728,59328,23758.39999999997,57594.23999999999,0,0,0,0
real_random_max131072_b1,real_random,131072,1,ring_only,ok,3317.405563912559,1.8990186346573588,1.9047462940216064,2,317728,59328,23758.39999999997,57594.23999999999,0,0,0,0
real_random_max131072_b1,real_random,131072,1,ulysses_ring,ok,3317.405563912559,1.8990186346573588,5.492121458053589,2,317728,59328,23758.39999999997,57594.23999999999,0,0,0,0
real_random_max131072_b2,real_random,131072,2,ulysses_only,ok,1793.6165063262001,1.0,9.183097839355469,1,170208,27360,13537.599999999984,22561.91999999998,0,0,0,0
real_random_max131072_b2,real_random,131072,2,ring_only,ok,707.1815807451464,2.5362884938777586,2.4929652214050293,1,170208,27360,13537.599999999984,22561.91999999998,0,0,0,0
real_random_max131072_b2,real_random,131072,2,ulysses_ring,ok,707.1815807451464,2.5362884938777586,8.23163914680481,1,170208,27360,13537.599999999984,22561.91999999998,0,0,0,0
real_random_max131072_b3,real_random,131072,3,ulysses_only,ok,1984.5919365827249,1.0,3.9144814014434814,1,182912,29792,10419.199999999993,23159.35999999997,0,0,0,0
real_random_max131072_b3,real_random,131072,3,ring_only,ok,825.0843379159396,2.4053200932107828,2.7919881343841553,1,182912,29792,10419.199999999993,23159.35999999997,0,0,0,0
real_random_max131072_b3,real_random,131072,3,ulysses_ring,ok,825.08433791594,2.405320093210782,3.8356521129608154,1,182912,29792,10419.199999999993,23159.35999999997,0,0,0,0
real_random_max131072_b4,real_random,131072,4,ulysses_only,ok,979.3639801605204,1.0,2.212315559387207,1,115776,16960,5868.799999999999,13472.319999999985,0,0,0,0
real_random_max131072_b4,real_random,131072,4,ring_only,ok,310.2048900163194,3.157151971746795,1.6492509841918945,1,115776,16960,5868.799999999999,13472.319999999985,0,0,0,0
real_random_max131072_b4,real_random,131072,4,ulysses_ring,ok,310.2048900163194,3.157151971746795,3.7308387756347656,1,115776,16960,5868.799999999999,13472.319999999985,0,0,0,0
tail_conditioned_max131072_b0,tail_conditioned,131072,0,ulysses_only,infeasible,,,0.23351335525512695,0,565312,127168,91870.39999999947,115414.71999999994,0,0,0,0
tail_conditioned_max131072_b0,tail_conditioned,131072,0,ring_only,ok,14328.385321186339,,0.7794771194458008,3,565312,127168,91870.39999999947,115414.71999999994,0,0,0,0
